instance,metric,variant_a,variant_b,median_a,median_b,statistic,p_value,cliffs_delta_positive_favors_a,p_value_holm,decision
A-n65-k9,gap_percent,baseline-random,efg-medium-best,156.64395150000001,198.21124300000002,72.0,2.3897386921024213e-08,0.84,4.5405035149946004e-07,significativo
A-n65-k9,gap_percent,baseline-random,efg-medium-first,156.64395150000001,193.90970650000003,61.0,9.255922203650376e-09,0.8644444444444445,1.8511844407300754e-07,significativo
A-n65-k9,gap_percent,baseline-random,efg-medium-random,156.64395150000001,201.02214800000002,45.0,2.2272692640697765e-09,0.9,4.8999923809535084e-08,significativo
A-n65-k9,gap_percent,efg-high-best,efg-high-first,212.776825,210.093697,517.0,0.32550642184354184,-0.14888888888888888,1.0,no_significativo
A-n65-k9,gap_percent,efg-high-best,efg-high-random,212.776825,204.5144805,528.0,0.251867648326799,-0.17333333333333334,1.0,no_significativo
A-n65-k9,gap_percent,efg-high-best,efg-medium-best,212.776825,198.21124300000002,676.5,0.0008337909015419557,-0.5033333333333333,0.014174445326213248,significativo
A-n65-k9,gap_percent,efg-high-best,efg-medium-first,212.776825,193.90970650000003,696.0,0.0002838312078821316,-0.5466666666666666,0.005108961741878369,significativo
A-n65-k9,gap_percent,efg-high-best,efg-medium-random,212.776825,201.02214800000002,549.0,0.1453079457994465,-0.22,1.0,no_significativo
A-n65-k9,gap_percent,efg-high-first,efg-high-random,210.093697,204.5144805,465.5,0.8244909544047159,-0.034444444444444444,1.0,no_significativo
A-n65-k9,gap_percent,efg-high-first,efg-medium-best,210.093697,198.21124300000002,604.0,0.02324153156843888,-0.3422222222222222,0.34862297352658317,no_significativo
A-n65-k9,gap_percent,efg-high-first,efg-medium-first,210.093697,193.90970650000003,621.5,0.01146352659928791,-0.3811111111111111,0.18341642558860655,no_significativo
A-n65-k9,gap_percent,efg-high-first,efg-medium-random,210.093697,201.02214800000002,505.0,0.42037987370950325,-0.12222222222222222,1.0,no_significativo
A-n65-k9,gap_percent,efg-high-random,efg-medium-best,204.5144805,198.21124300000002,570.5,0.07603739983535733,-0.2677777777777778,0.9884861978596453,no_significativo
A-n65-k9,gap_percent,efg-high-random,efg-medium-first,204.5144805,193.90970650000003,584.0,0.048410379870373846,-0.29777777777777775,0.6777453181852339,no_significativo
