instance,ivns_profile,vnd_mode,metric,n,mean,std,median,q1,q3,iqr,min,max
A-n80-k10,baseline,first,elapsed_time_seconds,30,0.45735546666666665,0.05252141572975229,0.4705225,0.42202025,0.482524,0.06050375000000002,0.314015,0.533026
A-n80-k10,baseline,random,gap_percent,30,148.55549169999998,14.205938554710379,150.397049,139.27964425000002,157.10436675,17.82472249999998,115.031197,173.454346
A-n80-k10,baseline,random,elapsed_time_seconds,30,0.4495217333333334,0.055560514450420644,0.45702149999999997,0.41527000000000003,0.48627299999999996,0.07100299999999993,0.284014,0.556027
A-n80-k10,efg-high,best,gap_percent,30,178.6972951,9.543017476855532,178.8996045,172.4049915,185.0680695,12.663078000000013,161.542816,201.815079
A-n80-k10,efg-high,best,elapsed_time_seconds,30,0.7831378000000002,0.07231232297395551,0.7815385,0.7317845,0.81828925,0.08650475000000002,0.633029,0.932044
A-n80-k10,efg-high,first,gap_percent,30,178.1433172,12.544375475425682,178.64435550000002,170.87351999999998,184.71355450000001,13.84003450000003,152.240509,207.714127
A-n80-k10,efg-high,first,elapsed_time_seconds,30,0.7770709333333333,0.06674230674556836,0.7670365,0.725535,0.83029,0.10475499999999993,0.658032,0.909044
A-n80-k10,efg-high,random,gap_percent,30,176.3452429,9.119347731179506,175.1276165,168.68973549999998,182.58649450000001,13.896759000000031,160.805435,195.46228
A-n80-k10,efg-high,random,elapsed_time_seconds,30,0.7790043333333332,0.050385327015280756,0.791039,0.761037,0.80678825,0.04575125000000002,0.643031,0.842042
A-n80-k10,efg-medium,best,gap_percent,30,169.83550616666668,9.8820927747466,170.44809750000002,161.15994625000002,176.99943125,15.839484999999968,150.595581,186.557007
A-n80-k10,efg-medium,best,elapsed_time_seconds,30,0.6202966333333334,0.052632760691733935,0.6305320000000001,0.5950292500000001,0.6585325,0.0635032499999999,0.490023,0.712035
A-n80-k10,efg-medium,first,gap_percent,30,168.40612496666665,15.459682168268687,168.973343,158.4798625,178.0062445,19.526382000000012,133.976166,204.310822
A-n80-k10,efg-medium,first,elapsed_time_seconds,30,0.6241302000000001,0.045100803931515075,0.6360315000000001,0.60302825,0.6505317500000001,0.04750350000000003,0.535026,0.687033
A-n80-k10,efg-medium,random,gap_percent,30,168.8391002,13.583547195811978,168.9166185,157.8559345,177.5666425,19.71070800000001,144.412933,193.47702
A-n80-k10,efg-medium,random,elapsed_time_seconds,30,0.6020290666666667,0.0509826123888861,0.602528,0.58027725,0.62353025,0.043252999999999986,0.484022,0.702034
